olex_key,tldr_key,SPDX_key,nexb_key
3com-bsd-license,,,
aaf-sdk-source-license,,,
abstyles,abstyles-license,Abstyles,abstyles
ace-tao-license,,,ace-tao
ace-tao-license-modified,,,ace-tao
acme-labs-bsd-license,,,
ac-permissive-license,,,
activeperl-community-license,,,
adaptive-1_0-license,adaptive-public-license-1.0-(apl-1.0),APL-1.0,adapt-1.0
adi-bsd,,,
adobe,adobe-systems-incorporated-source-code-license-agreement,Adobe-2006,adobe-scl
adobeafm,adobe-postscript-afm-license,,
adobeafm14,,APAFML,
adobe-bsd-license,,,
adobe-component-software-license,,,
adobeflex2sdk,,,
adobe-permissive-license,,,
adobe-svg-installer-license,,,
aetrion-license,,,
afferogplv1,,AGPL-1.0,agpl-1.0
afferogplv2,,,agpl-2.0
afl_v11,,AFL-1.1,afl-1.1
afl_v12,,AFL-1.2,afl-1.2
afl_v20,,AFL-2.0,afl-2.0
afl-2_1-license,,AFL-2.1,
afl-3_0-license,academic-free-license-3.0-(afl),AFL-3.0,afl-3.0
afmparse,,Afmparse,afmparse
agereltmodemdriverlicense,,,
ajax-control-bsd-license,,,
aladdinfreepubliclicense,,Aladdin,
amazondsb,,ADSL,adsl
amd,,,
amdplpa,,AMDPLPA,amdplpa
ampasbsd,,AMPAS,ampas
android-sdk-license,,,
andromda-bsd-license,,,
ankhsvn-apache-v2-license,,,
ant-apache-v1_1-license,,Apache-1.1,apache-1.1
ant-apache-v2-license,,,
ant-contrib-apache-v1_1-license,,,apache-1.1
antlr3-bsd-license,,,
antlr-license,antlr-software-rights-notice-(antlr-pd),ANTLR-PD,antlr-pd
anu-license,,,anu-license
apache-1_0-license,,Apache-1.0,apache-1.0
apache-1_1-ajgenesis,,,apache-1.1
apache-1_1-license,apache-license-1.1,Apache-1.1,apache-1.1
apache-2_0-license,apache-license-2.0-(apache-2.0),Apache-2.0,apache-2.0
apache-http-server-apache-v1_1-license,,,apache-1.1
apple-2_0-license,apple-public-source-license-2.0-(apsl),APSL-2.0,apsl-2.0
apple-bsd-license,,,
applecommondocumentationlicensev10,,,acdl-1.0
appleituneslicense,,,itunes
applepublicsourcelicensev10,,APSL-1.0,apsl-1.0
applepublicsourcelicensev11,,APSL-1.1,apsl-1.1
applepublicsourcelicensev12,,APSL-1.2,apsl-1.2
applequicktimelicense,,,quicktime
apple-software-permissive-license,,AML,
applesqueak,,,squeak
aptanapubliclicensev10,,,aptana-1.0
argouml-bsd-license,,,
arphic_public_license,,,arphic-public
artistic-1_0-perl,,Artistic-1.0-Perl,artistic-perl-1.0
artisticclarified,,Artistic-1.0-cl8,artistic-1.0-cl8
artisticv10short,,,
artistic-v1-license,,Artistic-1.0,artistic-1.0
artisticv20beta4,,,
artistic-v2-license,artistic-license-2.0-(artistic),Artistic-2.0,artistic-2.0
atheros-communications,,,
atisoftwareeula,,,ati-eula
attribution-assurance-license,,AAL,attribution
autoit_eula,,,autoit-eula
avalon-logkit-apache-v1_1-license,,,apache-1.1
axiom-development-team-license,,,
axtls-bsd-license,,,
bahyph,,Bahyph,bahyph
balabit-bsd-license,,,bsdi-license
barbecue-bsd-license,,,
barr,,Barr,barr-tex
bcel-apache-v1_1-license,,,apache-1.1
bea-systems-permission-notice,,,
bedbug,,,
beerware,beerware-license,Beerware,beerware
bigdigits-copyright-and-license-notice,,,bigdigits
bigelowholmes,,,bigelow-holmes
bitstream-unpublished-license,,,
bitstream-vera-fonts-copyright,,,bitstream
bittorrentv10,,BitTorrent-1.0,bittorrent-1.0
bittorrentv11,,BitTorrent-1.1,bittorrent-1.1
blackdog-copyright-notice-permission,,,
blat_blast_license,,,
blat-1_0-license,,,
blat-v2-license,,,
boehm-permissive-copyright,,,
boost-1_0-license,boost-software-license-1.0-explained,BSL-1.0,boost-1.0
borceux,,Borceux,borceux
bouncycastle-mit-license,,,mit
braemoor-software-freebies-license,,,
broadcom_bcm43xx,,,
bruccoleri-copyright-notice,,,
bsd_3-clause-attribution,,BSD-3-Clause-Attribution,
bsd-2-clause-netbsd,bsd-2-clause-license-(freebsd),BSD-2-Clause-NetBSD,bsd-2-clause-netbsd
bsd-3-clause-drew-davidson,,,
bsd-3-clause-indyhall-labs,,,
bsd-3-clause-john-fraser,,,
bsd-3-clause-lbnl,,BSD-3-Clause-LBNL,lbnl-bsd
bsd-3-clause-oracle,,,
bsd-3-clause-stephen-john-machin,,,
bsd-4-clause-carnegie-mellon,,,
bsd-cambridge-broadband,,,
bsd-cisco-buptnic,,,
bsd-eclipse-foundation,,,
bsd-jardine-sprymedia,,,
bsd-license,bsd-3-clause-license-(revised),BSD-3-Clause,bsdi-license
bsd-modified-4-clause-roman-v-kiseliov,,,
bsdnrl,,NRL,
bsd-protection,,BSD-Protection,bsd-protection
bsd-sparta,,,
bsd-texas-instruments,,,
bsdzlib,,,
bsf-apache-v1_1-license,,Apache-1.1,apache-1.1
buttontabcomponents-bsd-license,,,
bzip2-1_0_6,,bzip2-1.0.6,
bzip2-libbzip2-v1_0_5-license,,bzip2-1.0.5,bzip2-libbzip-1.0.5
c_migemo,,,cmigemo
cairngorm-bsd-license,,,
caldera-bsd,,Caldera,
caramel-xslt-base,,,
castor-bsd-like-license,,,
catchall,,,
cc-attribution-2_5-canada-license,,,cc-by-2.5
cc-attribution-nc-1_0,,CC-BY-NC-1.0,cc-by-nc-1.0
cc-attribution-nc-2_0,,CC-BY-NC-2.0,cc-by-nc-2.0
cc-attribution-nc-2_5,,CC-BY-NC-2.5,cc-by-nc-2.5
cc-attribution-nd-1_0,,CC-BY-ND-1.0,cc-by-nd-1.0
cc-attribution-nd-2-0,,CC-BY-ND-2.0,cc-by-nd-2.0
cc-attribution-non-commerical-sa-2_5-license,,CC-BY-SA-2.5,cc-by-sa-2.5
cc-by-1_0,,CC-BY-1.0,cc-by-1.0
cc-by-4_0,,CC-BY-4.0,cc-by-4.0
cc-by-england-wales-license,,,
