key,requirements
glide,License Text in Source
glide,License Text in Documentation
glide,Usage Notice in Documentation
glide,Source Redistribution
glide,Change Tracking in Source
glide,No License Change
glide,Patent - Rights Impairment
glide,Warranty Disclaimer
4suite-1.1,License Text in Source
4suite-1.1,License Text in Documentation
4suite-1.1,Usage Notice in Documentation
4suite-1.1,No Use in Endorsements
4suite-1.1,Name Restriction
4suite-1.1,Warranty Disclaimer
abstyles,License Text in Source
abstyles,No License Change
abstyles,Warranty Disclaimer
ac3filter,License Text in Source
ac3filter,License Text in Documentation
ac3filter,Source Redistribution
ac3filter,Change Tracking in Source
ac3filter,Non-Commercial Use Only
ac3filter,Patent - Rights Impairment
ac3filter,Warranty Disclaimer
afl-1.1,License Text in Source
afl-1.1,License Text in Documentation
afl-1.1,Usage Notice in Documentation
afl-1.1,No Use in Endorsements
afl-1.1,Patent - License Termination
afl-1.1,Warranty Disclaimer
afl-1.1,Patent - Grant
afl-1.2,License Text in Source
afl-1.2,License Text in Documentation
afl-1.2,Usage Notice in Documentation
afl-1.2,No Use in Endorsements
afl-1.2,Patent - License Termination
afl-1.2,Warranty Disclaimer
afl-1.2,Patent - Grant
afl-2.0,License Text in Source
afl-2.0,License Text in Documentation
afl-2.0,Usage Notice in Documentation
afl-2.0,No Use in Endorsements
afl-2.0,Patent - License Termination
afl-2.0,Warranty Disclaimer
afl-2.0,Patent - Grant
afl-2.1,License Text in Source
afl-2.1,License Text in Documentation
afl-2.1,Usage Notice in Documentation
afl-2.1,No Use in Endorsements
afl-2.1,Patent - License Termination
afl-2.1,Warranty Disclaimer
afl-2.1,Patent - Grant
afl-3.0,License Text in Source
afl-3.0,License Text in Documentation
afl-3.0,Usage Notice in Documentation
afl-3.0,No Use in Endorsements
afl-3.0,Patent - License Termination
afl-3.0,Network Redistribution
afl-3.0,Patent - Grant
ampas,License Text in Source
ampas,License Text in Documentation
ampas,No Use in Endorsements
ampas,Warranty Disclaimer
ampas,GPL Compatible
ace-tao,License Text in Source
ace-tao,No Use in Endorsements
ace-tao,Warranty Disclaimer
ace-tao,GPL Compatible
activestate-community,License Text in Source
activestate-community,License Text in Documentation
activestate-community,No Use in Endorsements
activestate-community,Non-Commercial Use Only
activestate-community,Restricted Redistribution
activestate-community,Export Controls
activestate-community,Warranty Disclaimer
actuate-birt-ihub-ftype-sla,Restricted Redistribution
actuate-birt-ihub-ftype-sla,Restricted Modifications
actuate-birt-ihub-ftype-sla,No License Change
actuate-birt-ihub-ftype-sla,Prohibited in Aircraft
actuate-birt-ihub-ftype-sla,Prohibited in Medical
actuate-birt-ihub-ftype-sla,Prohibited in Nuclear
actuate-birt-ihub-ftype-sla,Export Controls
actuate-birt-ihub-ftype-sla,Warranty Disclaimer
actuate-birt-ihub-ftype-sla,Indemnify Licensor
adaptec-downloadable,Restricted Redistribution
adaptec-downloadable,Restricted Modifications
adaptec-downloadable,No License Change
adaptec-downloadable,Export Controls
adaptec-downloadable,Warranty Disclaimer
adaptec-eula,License Text in Source
adaptec-eula,Restricted Redistribution
adaptec-eula,Restricted Modifications
adaptec-eula,No License Change
adaptec-eula,Export Controls
adaptec-eula,Warranty Disclaimer
adapt-1.0,License Text in Source
adapt-1.0,License Text in Documentation
adapt-1.0,Source Redistribution
adapt-1.0,Change Tracking in Source
adapt-1.0,Patent - Rights Impairment
adapt-1.0,Patent - License Termination
adapt-1.0,Warranty Disclaimer
adapt-1.0,Indemnify Licensor
addthis-mobile-sdk-1.0,License Text in Source
addthis-mobile-sdk-1.0,Platform Deployment Restriction
addthis-mobile-sdk-1.0,Restricted Redistribution
addthis-mobile-sdk-1.0,Restricted Modifications
addthis-mobile-sdk-1.0,No License Change
addthis-mobile-sdk-1.0,Export Controls
addthis-mobile-sdk-1.0,Network Redistribution
adobe-acrobat-reader-eula,Restricted Redistribution
adobe-acrobat-reader-eula,Restricted Modifications
adobe-acrobat-reader-eula,No License Change
adobe-acrobat-reader-eula,Export Controls
adobe-acrobat-reader-eula,Warranty Disclaimer
adobe-air-sdk,License Text in Source
adobe-air-sdk,No Use in Endorsements
adobe-air-sdk,Name Restriction
adobe-air-sdk,Restricted Redistribution
adobe-air-sdk,Restricted Modifications
adobe-air-sdk,Specification Constraints
adobe-air-sdk,Export Controls
adobe-air-sdk,Warranty Disclaimer
adobe-air-sdk,Indemnify Licensor
adobe-air-sdk,Patent - Warning
adobe-air-sdk-2014,License Text in Source
adobe-air-sdk-2014,No Use in Endorsements
adobe-air-sdk-2014,Name Restriction
adobe-air-sdk-2014,Restricted Redistribution
adobe-air-sdk-2014,Restricted Modifications
adobe-air-sdk-2014,Specification Constraints
adobe-air-sdk-2014,Export Controls
adobe-air-sdk-2014,Warranty Disclaimer
adobe-air-sdk-2014,Indemnify Licensor
adobe-air-sdk-2014,Patent - Warning
adobe-flash-player-eula-21.0,License Text in Source
adobe-flash-player-eula-21.0,Platform Deployment Restriction
adobe-flash-player-eula-21.0,Restricted Redistribution
adobe-flash-player-eula-21.0,Restricted Modifications
adobe-flash-player-eula-21.0,Prohibited in Nuclear
adobe-flash-player-eula-21.0,Export Controls
adobe-flash-player-eula-21.0,Warranty Disclaimer
adobe-flash-player-eula-21.0,Indemnify Licensor
adobe-flash-player-eula-21.0,Network Redistribution
flex2sdk,License Text in Source
flex2sdk,No Use in Endorsements
flex2sdk,Change Tracking in Source
flex2sdk,Platform Deployment Restriction
flex2sdk,Name Restriction
flex2sdk,Restricted Redistribution
flex2sdk,Export Controls
flex2sdk,Warranty Disclaimer
flex2sdk,Indemnify Licensor
flex2sdk,Network Redistribution
adobe-flex-sdk,Restricted Redistribution
adobe-flex-sdk,Restricted Modifications
adobe-flex-sdk,No License Change
adobe-flex-sdk,Export Controls
adobe-flex-sdk,Warranty Disclaimer
adobe-flex-sdk,Indemnify Licensor
adobe-general-tou,License Text in Source
adobe-general-tou,Restricted Redistribution
adobe-general-tou,Restricted Modifications
adobe-general-tou,No License Change
adobe-general-tou,DRM Not Allowed
adobe-general-tou,Export Controls
adobe-general-tou,Warranty Disclaimer
adobe-general-tou,Indemnify Licensor
adobe-general-tou,Network Redistribution
adobe-glyph,License Text in Source
adobe-glyph,License Text in Documentation
adobe-glyph,Usage Notice in Documentation
adobe-glyph,No Use in Endorsements
adobe-glyph,Name Restriction
adobe-glyph,Restricted Modifications
adobe-glyph,Warranty Disclaimer
apafml,License Text in Source
apafml,Change Tracking in Source
apafml,Warranty Disclaimer
apafml,GPL Compatible
adobe-postscript,License Text in Source
adobe-postscript,Name Restriction
adobe-postscript,Restricted Modifications
adobe-postscript,No License Change
adobe-scl,License Text in Source
adobe-scl,No Use in Endorsements
adobe-scl,Warranty Disclaimer
adobe-scl,Indemnify Licensor
adobe-scl,GPL Compatible
aes-128-3.0,Warranty Disclaimer
aes-128-3.0,GPL Compatible
agpl-2.0,License Text in Source
agpl-2.0,License Text in Documentation
agpl-2.0,Source Redistribution
agpl-2.0,Change Tracking in Source
agpl-2.0,No License Change
agpl-2.0,Patent - Rights Impairment
agpl-2.0,Warranty Disclaimer
agpl-2.0,Network Redistribution
agpl-2.0,Patent - Grant
afmparse,License Text in Source
afmparse,Change Tracking in Source
afmparse,Warranty Disclaimer
afmparse,GPL Compatible
agere-sla,License Text in Source
agere-sla,Platform Deployment Restriction
agere-sla,Restricted Redistribution
agere-sla,Warranty Disclaimer
afpl-8.0,License Text in Source
afpl-8.0,License Text in Documentation
afpl-8.0,Source Redistribution
afpl-8.0,Change Tracking in Source
afpl-8.0,Non-Commercial Use Only
afpl-8.0,Restricted Redistribution
afpl-8.0,No License Change
afpl-8.0,Patent - Rights Impairment
afpl-8.0,Warranty Disclaimer
afpl-9.0,License Text in Source
afpl-9.0,License Text in Documentation
afpl-9.0,Source Redistribution
afpl-9.0,Change Tracking in Source
afpl-9.0,Non-Commercial Use Only
afpl-9.0,Restricted Redistribution
afpl-9.0,No License Change
afpl-9.0,Patent - Rights Impairment
afpl-9.0,Warranty Disclaimer
aladdin-md5,License Text in Source
aladdin-md5,Change Tracking in Source
aladdin-md5,Warranty Disclaimer
aladdin-md5,GPL Compatible
allegro-4,License Text in Source
allegro-4,Warranty Disclaimer
allegro-4,GPL Compatible
xnet,License Text in Source
xnet,License Text in Documentation
xnet,Warranty Disclaimer
xnet,GPL Compatible
altova-eula,Usage Notice in Documentation
altova-eula,Special Attribution Obligation
altova-eula,Restricted Redistribution
altova-eula,Restricted Modifications
altova-eula,No License Change
altova-eula,Export Controls
altova-eula,Indemnify Licensor
adsl,License Text in Source
adsl,Warranty Disclaimer
adsl,GPL Compatible
amazon-sl,License Text in Source
amazon-sl,License Text in Documentation
amazon-sl,No Use in Endorsements
amazon-sl,Platform Deployment Restriction
amazon-sl,Restricted Redistribution
amazon-sl,No License Change
amazon-sl,Patent - License Termination
amazon-sl,Warranty Disclaimer
amazon-sl,Patent - Grant
amdplpa,License Text in Source
amdplpa,License Text in Documentation
amdplpa,No Use in Endorsements
amdplpa,Export Controls
amdplpa,Warranty Disclaimer
amdplpa,GPL Compatible
agg-2.4,License Text in Source
agg-2.4,License Text in Documentation
agg-2.4,Warranty Disclaimer
