olex_key,name,url,model,class,license_base
dot-net-reflector-license,.NET Reflector License,https://olex-secure.openlogic.com/licenses/dot-net-reflector-license,Commercial , Commercial License , Commercial License
itcl-license,[incr Tcl] Software License,https://olex-secure.openlogic.com/licenses/itcl-license,Open Source , Permissive Copyright Notice , [incr Tcl] Software License
glide,3dfx Glide License,https://olex-secure.openlogic.com/licenses/glide,Open Source , Non-standard Licenses , 3dfx Glide License
aaf-sdk-source-license,AAF SDK Public Source License,https://olex-secure.openlogic.com/licenses/aaf-sdk-source-license,Open Source , Non-standard Licenses , AAF SDK Public Source License
abstyles,Abstyles License,https://olex-secure.openlogic.com/licenses/abstyles,Open Source , Non-standard Licenses , Abstyles License
afl_v11,Academic Free License v1.1,https://olex-secure.openlogic.com/licenses/afl_v11,Open Source , Academic Free Licenses (AFL) , Academic Free License v1.1
afl_v12,Academic Free License v1.2,https://olex-secure.openlogic.com/licenses/afl_v12,Open Source , Academic Free Licenses (AFL) , Academic Free License v1.2
afl_v20,Academic Free License v2.0,https://olex-secure.openlogic.com/licenses/afl_v20,Open Source , Academic Free Licenses (AFL) , Academic Free License v2.0
afl-2_1-license,Academic Free License v2.1,https://olex-secure.openlogic.com/licenses/afl-2_1-license,Open Source , Academic Free Licenses (AFL) , Academic Free License v2.1
afl-3_0-license,Academic Free License v3.0,https://olex-secure.openlogic.com/licenses/afl-3_0-license,Open Source , Academic Free Licenses (AFL) , Academic Free License v3.0
ampasbsd,Academy of Motion Picture Arts and Sciences License,https://olex-secure.openlogic.com/licenses/ampasbsd,Open Source , Non-standard Licenses , Academy of Motion Picture Arts and Sciences License
ace-tao-license,"ACE(TM), TAO(TM), CIAO(TM), and CoSMIC(TM) License",https://olex-secure.openlogic.com/licenses/ace-tao-license,Open Source , Non-standard Licenses ," ACE(TM), TAO(TM), CIAO(TM), and CoSMIC(TM) License"
ace-tao-license-modified,"ACE(TM), TAO(TM), CIAO(TM), and CoSMIC(TM) License (Modified)",https://olex-secure.openlogic.com/licenses/ace-tao-license-modified,Open Source , Non-standard Licenses ," ACE(TM), TAO(TM), CIAO(TM), and CoSMIC(TM) License"
activeperl-community-license,ActivePerl Community License v2.2,https://olex-secure.openlogic.com/licenses/activeperl-community-license,Freeware , Freeware License , ActivePerl Community License v2.2
adaptive-1_0-license,Adaptive Public License 1.0,https://olex-secure.openlogic.com/licenses/adaptive-1_0-license,Open Source , Other OSI Approved Licenses , Adaptive Public License 1.0
adobe-component-software-license,Adobe Component Software License Agreement,https://olex-secure.openlogic.com/licenses/adobe-component-software-license,Freeware , Freeware License , Adobe Component Software License Agreement
adobe-permissive-license,Adobe Copyright and No Modification Notice,https://olex-secure.openlogic.com/licenses/adobe-permissive-license,Open Source , Permissive Copyright Notice , Adobe Copyright and No Modification Notice
adobeafm14,Adobe Core 14 AFM Permission Notice,https://olex-secure.openlogic.com/licenses/adobeafm14,Open Source , Permissive Copyright Notice , Adobe Core AFM Permission Notice
adobeafm,Adobe Core 35 AFM Permission Notice,https://olex-secure.openlogic.com/licenses/adobeafm,Open Source , Permissive Copyright Notice , Adobe Core AFM Permission Notice
adobeflex2sdk,Adobe Flex 2.0.1 SDK End User License Agreement,https://olex-secure.openlogic.com/licenses/adobeflex2sdk,Freeware , Freeware License , Adobe Flex 2.0.1 SDK End User License Agreement
mitadobeglyph,Adobe Glyph List Variant License,https://olex-secure.openlogic.com/licenses/mitadobeglyph,Open Source , Non-standard Licenses , Adobe Glyph List Variant License
adobe-svg-installer-license,Adobe SVG Autoinstaller Permission Notice,https://olex-secure.openlogic.com/licenses/adobe-svg-installer-license,Open Source , Permissive Copyright Notice , Adobe SVG Autoinstaller Permission Notice
adobe,Adobe Systems Inc. Source Code License Agreement,https://olex-secure.openlogic.com/licenses/adobe,Open Source , Non-standard Licenses , Adobe Systems Inc. Source Code License Agreement
ac-permissive-license,Advanced Computing Permissive Copyright Notice,https://olex-secure.openlogic.com/licenses/ac-permissive-license,Open Source , Permissive Copyright Notice , Advanced Computing Permissive Copyright Notice
aetrion-license,Aetrion License,https://olex-secure.openlogic.com/licenses/aetrion-license,Open Source , Non-standard Licenses , Aetrion License
afferogplv1,Affero General Public License 1.0,https://olex-secure.openlogic.com/licenses/afferogplv1,Open Source , GNU General Public Licenses (GPL) , Affero General Public License 1.0
afferogplv2,Affero General Public License 2,https://olex-secure.openlogic.com/licenses/afferogplv2,Open Source , GNU General Public Licenses (GPL) , Affero General Public License v2
afmparse,Afmparse License,https://olex-secure.openlogic.com/licenses/afmparse,Open Source , Non-standard Licenses , Afmparse License
agereltmodemdriverlicense,Agere Systems WinModem End User Software License Agreement,https://olex-secure.openlogic.com/licenses/agereltmodemdriverlicense,Freeware , Freeware License , Agere Systems WinModem End User Software License
aladdinfreepubliclicense,Aladdin Free Public License,https://olex-secure.openlogic.com/licenses/aladdinfreepubliclicense,Open Source , Non-standard Licenses , Aladdin Free Public License
giftware,Allegro Giftware License,https://olex-secure.openlogic.com/licenses/giftware,Open Source , Permissive Copyright Notice , Allegro Giftware License
amazondsb,Amazon Digital Services License,https://olex-secure.openlogic.com/licenses/amazondsb,Open Source , Permissive Copyright Notice , Amazon Digital Services License
amd,AMD license,https://olex-secure.openlogic.com/licenses/amd,Open Source , Permissive Copyright Notice , AMD License
amdplpa,AMD's plpa_map.c License,https://olex-secure.openlogic.com/licenses/amdplpa,Open Source , Non-standard Licenses , AMD's plpa_map.c License
android-sdk-license,Android Software Development Kit License Agreement,https://olex-secure.openlogic.com/licenses/android-sdk-license,Freeware , Freeware License , Android Software Development Kit License Agreement
ankhsvn-apache-v2-license,AnkhSVN Apache Software License 2.0,https://olex-secure.openlogic.com/licenses/ankhsvn-apache-v2-license,Open Source , Apache Licenses , Apache License 2.0
ant-apache-v2-license,Ant Apache Software License 2.0,https://olex-secure.openlogic.com/licenses/ant-apache-v2-license,Open Source , Apache Licenses , Apache License 2.0
antlr-license,ANTLR Software Rights Notice,https://olex-secure.openlogic.com/licenses/antlr-license,Public Domain , Public Domain Licenses , ANTLR Software Rights Notice
sequence-library-license,Apache 1.1 (Sequence Library),https://olex-secure.openlogic.com/licenses/sequence-library-license,Open Source , Apache Licenses , Apache License 1.1
apache-1_0-license,Apache License 1.0,https://olex-secure.openlogic.com/licenses/apache-1_0-license,Open Source , Apache Licenses , Apache License 1.0
apache-1_1-license,Apache License 1.1,https://olex-secure.openlogic.com/licenses/apache-1_1-license,Open Source , Apache Licenses , Apache License 1.1
apache-1_1-ajgenesis,Apache License 1.1 (ajgenesis),https://olex-secure.openlogic.com/licenses/apache-1_1-ajgenesis,Open Source , Apache Licenses , Apache License 1.1
ant-contrib-apache-v1_1-license,Apache License 1.1 (Ant-Contrib),https://olex-secure.openlogic.com/licenses/ant-contrib-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
ant-apache-v1_1-license,Apache License 1.1 (Ant),https://olex-secure.openlogic.com/licenses/ant-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
apache-http-server-apache-v1_1-license,Apache License 1.1 (Apache HTTP Server),https://olex-secure.openlogic.com/licenses/apache-http-server-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
avalon-logkit-apache-v1_1-license,Apache License 1.1 (Avalon Logkit),https://olex-secure.openlogic.com/licenses/avalon-logkit-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
bcel-apache-v1_1-license,Apache License 1.1 (BCEL),https://olex-secure.openlogic.com/licenses/bcel-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
bsf-apache-v1_1-license,Apache License 1.1 (BSF),https://olex-secure.openlogic.com/licenses/bsf-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
cglib-apache-v1_1-license,Apache License 1.1 (cglib),https://olex-secure.openlogic.com/licenses/cglib-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
cleanimports-apache-v1_1-license,Apache License 1.1 (CleanImports),https://olex-secure.openlogic.com/licenses/cleanimports-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
cobertura-apache-v1_1-license,Apache License 1.1 (Cobertura),https://olex-secure.openlogic.com/licenses/cobertura-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
commons-beanutils-apache-v1_1-license,Apache License 1.1 (Commons BeanUtils),https://olex-secure.openlogic.com/licenses/commons-beanutils-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
commons-cli-apache-v1_1-license,Apache License 1.1 (Commons Cli),https://olex-secure.openlogic.com/licenses/commons-cli-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
commons-collection-apache-v1_1-license,Apache License 1.1 (Commons Collections),https://olex-secure.openlogic.com/licenses/commons-collection-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
commons-dbutils-apache-v1_1-license,Apache License 1.1 (Commons DBUtils),https://olex-secure.openlogic.com/licenses/commons-dbutils-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
commons-digester-apache-v1_1-license,Apache License 1.1 (Commons Digester),https://olex-secure.openlogic.com/licenses/commons-digester-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
commons-discovery-apache-v1_1-license,Apache License 1.1 (Commons Discovery),https://olex-secure.openlogic.com/licenses/commons-discovery-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
commons-el-apache-v1_1-license,Apache License 1.1 (Commons El),https://olex-secure.openlogic.com/licenses/commons-el-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
commons-fileupload-apache-v1_1-license,Apache License 1.1 (Commons Fileupload),https://olex-secure.openlogic.com/licenses/commons-fileupload-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
commons-lang-apache-v1_1-license,Apache License 1.1 (Commons Lang),https://olex-secure.openlogic.com/licenses/commons-lang-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
commons-logging-apache-v1_1-license,Apache License 1.1 (Commons Logging),https://olex-secure.openlogic.com/licenses/commons-logging-apache-v1_1-license,Open Source , Apache Licenses , Apache License 1.1
