olex_key,olex_obligation_code
3com-bsd-license,O-0000
3com-bsd-license,O-1101
3com-bsd-license,O-1106
3com-bsd-license,O-1107
3com-bsd-license,R-4102
aaf-sdk-source-license,O-0000
abstyles,O-0000
ace-tao-license,O-0000
ace-tao-license,O-1101
ace-tao-license,O-1106
ace-tao-license,O-2202
ace-tao-license,R-4102
ace-tao-license,R-4104
ace-tao-license,R-4105
ace-tao-license-modified,O-0000
ace-tao-license-modified,O-1101
ace-tao-license-modified,O-1106
ace-tao-license-modified,R-4102
ace-tao-license-modified,R-4104
ace-tao-license-modified,R-4105
acme-labs-bsd-license,O-0000
acme-labs-bsd-license,O-1101
acme-labs-bsd-license,O-1106
acme-labs-bsd-license,O-1107
ac-permissive-license,O-0000
activeperl-community-license,O-0000
adaptive-1_0-license,I-8101
adaptive-1_0-license,O-0000
adi-bsd,O-0000
adi-bsd,O-1101
adi-bsd,O-1106
adi-bsd,O-1107
adi-bsd,R-4101
adi-bsd,R-4102
adobe,O-0000
adobeafm,O-0000
adobeafm,O-1101
adobeafm,O-1102
adobeafm,O-1106
adobeafm,R-4201
adobeafm14,O-0000
adobeafm14,O-1101
adobeafm14,O-1102
adobeafm14,O-1106
adobeafm14,R-4201
adobe-bsd-license,O-0000
adobe-bsd-license,O-1101
adobe-bsd-license,O-1106
adobe-bsd-license,O-1107
adobe-bsd-license,R-4102
adobe-component-software-license,I-8102
adobe-component-software-license,O-0000
adobeflex2sdk,I-8102
adobeflex2sdk,O-0000
adobe-permissive-license,O-0000
adobe-permissive-license,O-1106
adobe-permissive-license,R-4402
adobe-svg-installer-license,O-0000
adobe-svg-installer-license,R-4402
aetrion-license,O-0000
afferogplv1,O-0000
afferogplv2,O-0000
afl_v11,O-0000
afl_v12,O-0000
afl_v20,I-8201
afl_v20,I-8301
afl_v20,O-0000
afl_v20,O-1102
afl_v20,O-1104
afl_v20,O-1301
afl_v20,R-4101
afl_v20,R-4102
afl_v20,X-6101
afl_v20,X-6201
afl-2_1-license,I-8201
afl-2_1-license,I-8301
afl-2_1-license,O-0000
afl-2_1-license,O-1102
afl-2_1-license,O-1104
afl-2_1-license,O-1106
afl-2_1-license,O-1301
afl-2_1-license,O-2103
afl-2_1-license,R-4101
afl-2_1-license,R-4102
afl-2_1-license,R-4201
afl-2_1-license,X-6101
afl-2_1-license,X-6201
afl-3_0-license,I-8201
afl-3_0-license,I-8301
afl-3_0-license,O-0000
afl-3_0-license,O-1102
afl-3_0-license,O-1104
afl-3_0-license,O-1106
afl-3_0-license,O-1301
afl-3_0-license,O-2103
afl-3_0-license,R-4101
afl-3_0-license,R-4102
afl-3_0-license,R-4202
afl-3_0-license,R-4203
afl-3_0-license,X-6101
afl-3_0-license,X-6201
afmparse,O-0000
agereltmodemdriverlicense,I-8102
agereltmodemdriverlicense,O-0000
ajax-control-bsd-license,O-0000
aladdinfreepubliclicense,O-0000
amazondsb,O-0000
amd,O-0000
amd,O-1106
amdplpa,O-0000
ampasbsd,O-0000
android-sdk-license,I-8102
