tldr_key,tldr_name,tldr_url,summary
3dfx-glide-license,3dfx Glide License,https://tldrlegal.com/license/3dfx-glide-license,no summary
abcms,AbCMS,https://tldrlegal.com/license/abcms,no summary
academic-free-license-3.0-(afl),Academic Free License 3.0 (AFL),https://tldrlegal.com/license/academic-free-license-3.0-(afl),"Gives you a copyright and allows for a patent on the software so long as you include the original software, any of its copyrights or trademarks and a note saying that you modified it. Created by the same author as the Open Software License, this license is nearly identical but, unlike the Open Software License, not copyleft as it doesn't force derivative works to use the same license."
apache-license-1.1,Apache License 1.1 (Apache-1.1),https://tldrlegal.com/license/apache-license-1.1,A permissive license with slight changes in required acknowledgements and trademark restrictions from the Apache-1.0. Has been superseded by the Apache-2.0 license
apache-license-2.0-(apache-2.0),Apache License 2.0 (Apache-2.0),https://tldrlegal.com/license/apache-license-2.0-(apache-2.0),"You can do what you like with the software, as long as you include the required notices. This permissive license contains a patent license from the contributors of the code"
apple-public-source-license-2.0-(apsl),Apple Public Source License 2.0 (APSL),https://tldrlegal.com/license/apple-public-source-license-2.0-(apsl),The open-source license Apple uses for some of its own code requires a fair amount of documentation (e.g. notice and date of any changes made to code) in return for the right to use and modify their software commercially.
artistic-license-2.0-(artistic),Artistic License 2.0 (Artistic-2.0),https://tldrlegal.com/license/artistic-license-2.0-(artistic),This is a license for software packages with the intent of giving the original copyright holder some measure of control over his software while still remaining open source. It is flexible and allows you to distribute or sell modified versions as long as you maintain access to the original version and publish modificaitons.
beerware-license,Beerware License,https://tldrlegal.com/license/beerware-license,"The user is allowed to do anything with the licensed material. Should the user of the product meet the author and consider the software useful, he is encouraged to buy the author a beer ""in return"" (or, in some variations, to drink a beer in the author's honor)."
boost-software-license-1.0-explained,Boost Software License 1.0 (BSL-1.0),https://tldrlegal.com/license/boost-software-license-1.0-explained,"This is a simple license that includes a clause on warranty, and encourages free and open use of software licensed under it. You must include the original copyright and this license in software unless in the form of ?machine-executable object code generated by a source processor.?"
bsd-2-clause-license-(freebsd),BSD 2-Clause License (FreeBSD/Simplified),https://tldrlegal.com/license/bsd-2-clause-license-(freebsd),The BSD 2-clause license allows you almost unlimited freedom with the software so long as you include the BSD copyright notice in it (found in Fulltext). Many other licenses are influenced by this one.
bsd-3-clause-license-(revised),BSD 3-Clause License (Revised),https://tldrlegal.com/license/bsd-3-clause-license-(revised),The BSD 3-clause license allows you almost unlimited freedom with the software so long as you include the BSD copyright and license notice in it (found in Fulltext).
common-development-and-distribution-license-(cddl-1.0)-explained,Common Development and Distribution License (CDDL-1.0),https://tldrlegal.com/license/common-development-and-distribution-license-(cddl-1.0)-explained,"This is a weak copyleft license used by Sun Microsystems that includes explicit patent grants. It is similar to MPL and EPL.  You can distribute binaries under a proprietary license, as long as original and modified source code under CDDL is made available."
common-public-attribution-license-version-1.0-(cpal-1.0),Common Public Attribution License Version 1.0 (CPAL-1.0),https://tldrlegal.com/license/common-public-attribution-license-version-1.0-(cpal-1.0),"This license is like EPL or MPL, but it has extra requirements that apply even if you use the software as a service (instead of distributing it). Depending on the notice requirements required by a particular author who releases software under this license, you may need to include the licensor?s logo on splash screens of your software."
condor-public-license-v1.1-(condor-1.1),Condor Public License v1.1 (Condor-1.1),https://tldrlegal.com/license/condor-public-license-v1.1-(condor-1.1),"A deprecated license used specifically for older Condor software, criticized for ambiguity.  The Apache License is now preferred over the Condor license."
