tldr_key,requirements,type
academic-free-license-3.0-(afl),Commercial Use,can
academic-free-license-3.0-(afl),Modify,can
academic-free-license-3.0-(afl),Distribute,can
academic-free-license-3.0-(afl),Sublicense,can
academic-free-license-3.0-(afl),Use Trademark,cannot
academic-free-license-3.0-(afl),Hold Liable,cannot
academic-free-license-3.0-(afl),Include Original,must
academic-free-license-3.0-(afl),Disclose Source,must
academic-free-license-3.0-(afl),Include Copyright,must
apache-license-2.0-(apache-2.0),Commercial Use,can
apache-license-2.0-(apache-2.0),Modify,can
apache-license-2.0-(apache-2.0),Distribute,can
apache-license-2.0-(apache-2.0),Sublicense,can
apache-license-2.0-(apache-2.0),Private Use,can
apache-license-2.0-(apache-2.0),Use Patent Claims,can
apache-license-2.0-(apache-2.0),Place Warranty,can
apache-license-2.0-(apache-2.0),Hold Liable,cannot
apache-license-2.0-(apache-2.0),Use Trademark,cannot
apache-license-2.0-(apache-2.0),Include Copyright,must
apache-license-2.0-(apache-2.0),Include License,must
apache-license-2.0-(apache-2.0),State Changes,must
apache-license-2.0-(apache-2.0),Include Notice,must
apache-license-1.1,Distribute,can
apache-license-1.1,Modify,can
apache-license-1.1,Commercial Use,can
apache-license-1.1,Sublicense,can
apache-license-1.1,Hold Liable,cannot
apache-license-1.1,Use Trademark,cannot
apache-license-1.1,Include Copyright,must
apache-license-1.1,Include License,must
apache-license-1.1,Include Notice,must
apple-public-source-license-2.0-(apsl),Commercial Use,can
apple-public-source-license-2.0-(apsl),Modify,can
apple-public-source-license-2.0-(apsl),Distribute,can
apple-public-source-license-2.0-(apsl),Sublicense,can
apple-public-source-license-2.0-(apsl),Place Warranty,can
apple-public-source-license-2.0-(apsl),Hold Liable,cannot
apple-public-source-license-2.0-(apsl),Use Trademark,cannot
apple-public-source-license-2.0-(apsl),Include Copyright,must
apple-public-source-license-2.0-(apsl),Include License,must
apple-public-source-license-2.0-(apsl),State Changes,must
apple-public-source-license-2.0-(apsl),Disclose Source,must
artistic-license-2.0-(artistic),Commercial Use,can
artistic-license-2.0-(artistic),Modify,can
artistic-license-2.0-(artistic),Distribute,can
artistic-license-2.0-(artistic),Sublicense,can
artistic-license-2.0-(artistic),Private Use,can
artistic-license-2.0-(artistic),Hold Liable,cannot
artistic-license-2.0-(artistic),Use Trademark,cannot
artistic-license-2.0-(artistic),Rename,must
artistic-license-2.0-(artistic),State Changes,must
artistic-license-2.0-(artistic),Include Original,must
artistic-license-2.0-(artistic),Include Install Instructions,must
beerware-license,Commercial Use,can
beerware-license,Modify,can
beerware-license,Distribute,can
beerware-license,Sublicense,can
beerware-license,Include License,can
beerware-license,Rename,can
beerware-license,Place Warranty,can
beerware-license,Statically Link,can
beerware-license,Include Copyright,must
boost-software-license-1.0-explained,Commercial Use,can
boost-software-license-1.0-explained,Modify,can
boost-software-license-1.0-explained,Distribute,can
boost-software-license-1.0-explained,Hold Liable,cannot
boost-software-license-1.0-explained,Include Copyright,must
boost-software-license-1.0-explained,Include License,must
bsd-2-clause-license-(freebsd),Commercial Use,can
bsd-2-clause-license-(freebsd),Modify,can
bsd-2-clause-license-(freebsd),Distribute,can
bsd-2-clause-license-(freebsd),Place Warranty,can
bsd-2-clause-license-(freebsd),Hold Liable,cannot
bsd-2-clause-license-(freebsd),Include Copyright,must
bsd-2-clause-license-(freebsd),Include License,must
bsd-3-clause-license-(revised),Commercial Use,can
bsd-3-clause-license-(revised),Modify,can
